dataset	observation	x	y
1	1	10.0	8.04
1	2	8.0	6.95
1	3	13.0	7.58
1	4	9.0	8.81
1	5	11.0	8.33
1	6	14.0	9.96
1	7	6.0	7.24
1	8	4.0	4.26
1	9	12.0	10.84
1	10	7.0	4.82
1	11	5.0	5.68
2	1	10.0	9.14
2	2	8.0	8.14
2	3	13.0	8.74
2	4	9.0	8.77
2	5	11.0	9.26
2	6	14.0	8.10
2	7	6.0	6.13
2	8	4.0	3.10
2	9	12.0	9.13
2	10	7.0	7.26
2	11	5.0	4.74
3	1	10.0	7.46
3	2	8.0	6.77
3	3	13.0	12.74
3	4	9.0	7.11
3	5	11.0	7.81
3	6	14.0	8.84
3	7	6.0	6.08
3	8	4.0	5.39
3	9	12.0	8.15
3	10	7.0	6.42
3	11	5.0	5.73
4	1	8.0	6.58
4	2	8.0	5.76
4	3	8.0	7.71
4	4	8.0	8.84
4	5	8.0	8.47
4	6	8.0	7.04
4	7	8.0	5.25
4	8	19.0	12.50
4	9	8.0	5.56
4	10	8.0	7.91
4	11	8.0	6.89
